input,output
"hola","hola, ¿cómo te ha ido?"
"empatizar","empatizar ayuda a construir relaciones más fuertes."
"am","amistad es un tesoro que debemos cuidar."
"com","comida saludable mejora tu bienestar general."
"viv","vivir intensamente cada día es la clave."
"feli","felicidad se encuentra en las pequeñas cosas."
"pro","progreso diario es el secreto del éxito."
"son","sonríe, porque hoy es un buen día."
"apa","aprender a disfrutar de cada momento es importante."
"cre","creer en uno mismo es el primer paso hacia el éxito."
"ca","cantar puede aliviar el estrés y mejorar el ánimo."
"esc","escuchar a los demás es una muestra de respeto."
"ven","vencer los miedos te lleva a nuevas oportunidades."
"ju","jugar es esencial para mantener la mente creativa."
"le","leer libros te lleva a mundos increíbles."
"esc","escribir es una manera maravillosa de expresar ideas."
"im","imaginar nuevas posibilidades abre caminos inexplorados."
"ay","ayudar a los demás te llena de satisfacción."
"sa","saber cuándo parar es una habilidad valiosa."
"con","concentrarse en una tarea mejora los resultados."
"re","reflexionar sobre el día puede mejorar el mañana."
"ha","hacer ejercicio mejora tanto el cuerpo como la mente."
"des","descansar es necesario para mantener el equilibrio."
"or","organizarse bien permite aprovechar mejor el tiempo."
"tr","trabajar en equipo genera mejores resultados."
"plan","planificar a largo plazo trae estabilidad."
"via","viajar abre la mente a nuevas culturas y experiencias."
"mu","música es el lenguaje universal que une corazones."
"pa","pasear al aire libre te conecta con la naturaleza."
"bai","bailar es una excelente forma de liberar tensiones."
"dib","dibujar permite expresar emociones sin palabras."
"es","esfuerzo y dedicación siempre son recompensados."
"inv","invertir tiempo en uno mismo es clave para el crecimiento personal."
"est","estudiar algo nuevo cada día te mantiene en constante evolución."
"desc","descubrir nuevos hobbies enriquece la vida."
"per","perseverar es lo que distingue a los exitosos de los demás."
"cum","cumplir promesas fortalece la confianza."
"gen","generar ideas creativas puede transformar una situación."
"aca","acabar un proyecto trae una gran satisfacción."
"log","lograr tus metas requiere paciencia y esfuerzo."
"confi","confiar en el proceso es esencial para avanzar."
"apr","aprender nunca deja de ser emocionante."
"rel","relajarse después de un largo día ayuda a recuperar energía."
"ad","admirar la belleza del mundo trae paz."
"res","respetar a los demás genera armonía en la sociedad."
"edu","educar con amor es el mejor legado que podemos dejar."
"dis","disfrutar de las cosas simples nos hace más felices."
"ama","amar lo que haces te llevará lejos en la vida."
"fuer","fuerza no siempre significa poder físico, sino resistencia mental."
"vi","vivir con propósito te impulsa a seguir adelante."
"rec","recordar los buenos momentos trae alegría."
"imp","importar más los pequeños detalles que los grandes eventos."
"com","compartir tus logros con otros los hace más valiosos."
"cre","crear un ambiente positivo atrae buenas energías."
"con","construir relaciones sólidas requiere tiempo y dedicación."
"acept","aceptar a los demás tal como son es un acto de amor."
"perdon","perdonar a los demás libera tu corazón de rencores."
"res","respetar las diferencias enriquece la convivencia."
"compren","comprender a los demás es la base de una buena comunicación."
"escuchar","escuchar con atención es una muestra de respeto."
